feature,category,phishing_mean,benign_mean,phishing_median,benign_median,mean_diff_phish_minus_benign,median_diff_phish_minus_benign,mannwhitney_p_value,ks_p_value,auc_direction_phish_larger,single_feature_auc,cliffs_delta,q_value,is_effective
burst_duration_mean_100ms,burst_100ms,0.15779620150979098,0.24782372945651526,0.07014393806457517,0.12223180418922788,-0.09002752794672428,-0.052087866124652715,1.4900071174569777e-174,6.120530314437655e-143,0.38502864286428645,0.6149713571357136,-0.2299427142714271,8.277817319205432e-174,True
largest_pkt_fraction,packet_length_distribution,0.05234852749002752,0.029332325030218594,0.0077095812319553205,0.002481376982840609,0.023016202459808923,0.005228204249114712,3.3304661363577795e-172,9.283684646841941e-198,0.6141859435943594,0.6141859435943594,0.22837188718871881,1.7528769138725156e-171,True
pkt_len_iqr,packet_length_stats,839.8513351335133,1095.3987,1154.0,1377.0,-255.54736486648665,-223.0,1.4505767205874524e-171,2.6256865922675865e-219,0.3865059455945595,0.6134940544054406,-0.22698810881088105,7.252883602937262e-171,True
iat_skew,iat_stats,9.220807887959552,12.427963379125172,5.61669327429402,8.69154067928643,-3.2071554911656204,-3.0748474049924095,2.70322982149285e-169,2.9712740613306626e-143,0.3867699719971997,0.6132300280028002,-0.2264600560056006,1.2287408279512955e-168,True
bin_2_pkt_count_ratio,time_bins,0.18499097621718535,0.25138758909366504,0.12481426448736999,0.20520297797555576,-0.06639661287647969,-0.08038871348818577,5.371766774287392e-169,4.1403794967817997e-153,0.38694757475747577,0.6130524252425242,-0.22610485048504847,2.3355507714293007e-168,True
iat_kurtosis,iat_stats,227.01094834004752,342.4997128774348,34.70196856834708,90.7015052525995,-115.48876453738725,-55.999536684252426,3.4659982147849107e-168,1.265663801670999e-139,0.3871456545654565,0.6128543454345434,-0.22570869086908696,1.3863992859139643e-167,True
bin_2_byte_fraction,time_bins,0.18784120612479713,0.2546985786768533,0.094986249206685,0.19906252958946646,-0.06685737255205618,-0.10407628038278147,2.4378109807185624e-168,4.934950189795429e-171,0.3871701720172017,0.6128298279827983,-0.22565965596559656,1.0157545752994009e-167,True
burst_bytes_std_100ms,burst_100ms,170951.2794783195,247596.72055380617,19140.19610975306,71799.25891686924,-76645.44107548665,-52659.06280711618,1.3555887054261319e-166,3.6436063334105324e-170,0.38773731373137316,0.6122626862686269,-0.2245253725372537,5.21380271317743e-166,True
iat_gt_200_ratio,iat_thresholds,0.15864802005973178,0.07368557603708052,0.018867924528301886,0.005956208393317371,0.08496244402265125,0.012911716134984515,7.465215946400536e-166,8.485582568820432e-152,0.6119861536153616,0.6119861536153616,0.22397230723072314,2.7648947949631616e-165,True
first_5_bytes_fraction,early_window,0.1094281116633532,0.05325336912357256,0.0067331422721306315,0.0025284497643651774,0.056174742539780644,0.004204692507765454,3.2791889320157894e-165,1.783742670709918e-193,0.6118148164816481,0.6118148164816481,0.2236296329632963,1.1711389042913535e-164,True
pkt_len_std,packet_length_stats,502.7501624701492,579.1425613414112,581.554101888123,625.2176523637597,-76.39239887126206,-43.663550475636725,1.4733890224376467e-159,2.1100561013959805e-194,0.39013959395939596,0.6098604060406041,-0.21972081208120808,4.911296741458822e-159,True
pkt_len_var,packet_length_stats,298584.12650123046,358041.1377345351,338205.17342290137,390897.113037754,-59457.01123330463,-52691.93961485266,1.4733890224376467e-159,2.1100561013959805e-194,0.39013959395939596,0.6098604060406041,-0.21972081208120808,4.911296741458822e-159,True
iat_lt_020_ratio,iat_thresholds,0.7537679519210625,0.8639012943819037,0.8849557522123894,0.9397407109173317,-0.11013334246084117,-0.054784958704942266,1.4222099935086508e-158,2.1100561013959805e-194,0.3904835483548355,0.6095164516451645,-0.21903290329032898,4.587774172608551e-158,True
iat_mean,iat_stats,0.14866301249405664,0.06888129829022074,0.016818334270455985,0.00786767104353528,0.0797817142038359,0.008950663226920706,2.924568855267939e-154,1.3866083736098833e-175,0.6080211721172117,0.6080211721172117,0.21604234423442348,9.139277672712309e-154,True
